"id";"names";"id.page";"name.page";"2015-03-16";"2015-03-17";"2015-03-18";"2015-03-19";"2015-03-20";"2015-03-21";"2015-03-22";"2015-03-23";"2015-03-24";"2015-03-25";"2015-03-26";"2015-03-27";"2015-03-28";"2015-03-29";"2015-03-30";"2015-03-31";"2015-04-01";"2015-04-02";"2015-04-03";"2015-04-04";"2015-04-05";"2015-04-06";"2015-04-07";"2015-04-08";"2015-04-10";"2015-04-11";"2015-04-12";"2015-04-13";"2015-04-14";"2015-04-15";"2015-04-16";"2015-04-17";"2015-04-23";"2015-04-24";"2015-04-25";"2015-04-26";"2015-04-27";"2015-04-28";"2015-04-29";"2015-05-02";"2015-05-03";"2015-05-04";"2015-05-05";"2015-05-06";"2015-05-07";"2015-05-08";"2015-05-09";"2015-05-10"
1;"Bronislaw Komorowski";108537862522546;"NIE CHCÊ aby Bronis³aw Komorowski zosta³ prezydentem !!!!!!!";7636;7676;7712;7735;7737;7757;7825;7886;7990;8030;8059;8148;8209;8254;8295;8318;8341;8366;8377;8383;8389;8394;8392;8404;9002;9159;9479;9733;9848;10007;10117;10378;11194;11273;11341;11500;11669;11923;12141;12854;12947;13016;13058;13087;13111;13122;13313;13555
1;"Bronislaw Komorowski";113077252063553;"Bronis³aw Komorowski";137091;137119;137205;137660;137776;137834;138011;138094;138204;138231;138275;138387;138406;138483;138612;138714;138782;138824;138852;138906;139030;139101;139155;139177;139475;139531;139618;139818;139897;139992;140056;140120;140527;140814;141476;141956;142043;142137;142256;142713;142858;143022;143174;143397;143550;143793;144114;144244
1;"Bronislaw Komorowski";268467546620008;"Bronis³aw Komorowski - mój Prezydent";6423;6425;6430;6438;6439;6442;6443;6442;6459;6461;6468;6480;6481;6483;6494;6503;6513;6518;6531;6537;6549;6551;6552;6557;6573;6576;6576;6592;6606;6648;6665;6716;6771;6775;6783;6805;6811;6824;6832;6873;6891;6905;6930;6967;6991;7017;7085;7108
1;"Bronislaw Komorowski";370428239811313;"Komorowski stoi na rzeczach";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
1;"Bronislaw Komorowski";413090908855188;"Komorowski NA Debatê";5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
1;"Bronislaw Komorowski";428627390633869;"Oœwiêcim Popiera Komorowskiego";35;35;34;35;35;35;35;35;36;36;36;37;37;37;37;37;40;40;40;40;40;40;40;53;53;54;54;55;54;54;54;54;55;55;55;55;56;58;58;58;58;58;58;58;58;58;58;58
1;"Bronislaw Komorowski";449248448558093;"Debata Duda - Komorowski";31;31;32;32;32;32;34;34;34;34;41;43;43;43;45;46;47;47;47;47;48;48;48;48;48;48;48;48;48;48;48;48;49;49;49;49;49;49;49;49;50;50;50;50;51;51;51;51
1;"Bronislaw Komorowski";450938998408112;"Pruszków popiera Komorowskiego";21;21;22;23;23;23;23;23;23;24;28;28;28;28;29;29;32;34;34;35;35;35;35;41;41;42;42;42;42;42;42;42;47;47;48;53;55;56;56;58;58;59;59;60;62;62;62;62
1;"Bronislaw Komorowski";553818191388543;"Typowy Komorowski";70;70;72;80;82;81;81;81;82;82;82;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;87;88;88;88;88;87;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88
1;"Bronislaw Komorowski";803427056406784;"NIE popieram Komorowskiego.";13;13;13;14;14;14;14;14;14;14;14;14;14;14;14;15;15;15;15;15;15;15;15;16;17;17;17;17;17;17;17;17;17;17;17;18;18;18;18;19;19;19;19;20;20;20;19;19
1;"Bronislaw Komorowski";811168678956871;"Popieram Komorowskiego w Warszawie";466;466;467;470;471;471;471;471;473;474;480;482;484;484;486;489;490;492;494;498;502;503;503;508;517;519;519;520;525;534;533;536;556;561;565;569;570;577;583;596;600;602;608;617;621;626;640;642
1;"Bronislaw Komorowski";900130833371598;"Popieram Komorowskiego na Mazowszu";103;103;104;106;107;107;108;108;109;109;110;110;110;110;111;111;111;118;121;122;122;122;122;129;130;133;133;133;133;133;134;138;153;153;153;154;154;155;157;163;164;164;167;173;179;181;187;187
1;"Bronislaw Komorowski";903760883001833;"Popieram Komorowskiego w Kujawsko-Pomorskim";81;82;85;91;93;94;95;95;96;96;98;101;102;102;104;104;104;103;105;105;105;105;105;114;120;123;127;132;134;136;136;138;177;181;185;200;204;204;207;209;209;210;211;212;214;215;222;231
