"id";"names";"id.page";"name.page";"2015-03-16";"2015-03-17";"2015-03-18";"2015-03-19";"2015-03-20";"2015-03-21";"2015-03-22";"2015-03-23";"2015-03-24";"2015-03-25";"2015-03-26";"2015-03-27";"2015-03-28";"2015-03-29";"2015-03-30";"2015-03-31";"2015-04-01";"2015-04-02";"2015-04-03";"2015-04-04";"2015-04-05";"2015-04-06";"2015-04-07";"2015-04-08";"2015-04-10";"2015-04-11";"2015-04-12";"2015-04-13";"2015-04-14";"2015-04-15";"2015-04-16";"2015-04-17";"2015-04-23";"2015-04-24";"2015-04-25";"2015-04-26";"2015-04-27";"2015-04-28";"2015-04-29";"2015-05-02";"2015-05-03";"2015-05-04";"2015-05-05";"2015-05-06";"2015-05-07";"2015-05-08";"2015-05-09";"2015-05-10"
3;"Magdalena Ogorek";332431223631163;"Magdalena Ogórek";148;149;151;155;158;159;163;167;168;170;173;187;189;199;209;212;218;219;222;225;224;225;227;229;229;229;230;231;232;232;232;239;261;263;265;266;268;272;274;277;278;281;282;292;296;298;299;301
3;"Magdalena Ogorek";348097728708974;"Magdalena Ogórek na Prezydenta RP";949;950;955;979;989;990;1009;1019;1034;1035;1048;1078;1086;1113;1132;1135;1136;1136;1138;1141;1144;1145;1151;1159;1170;1172;1175;1183;1191;1195;1198;1201;1231;1233;1234;1242;1246;1253;1260;1291;1302;1308;1323;1350;1357;1367;1381;1387
3;"Magdalena Ogorek";399655096851013;"Magdalena Ogórek Na Dziœ";463;465;466;475;485;486;492;497;505;506;509;519;519;526;533;536;537;537;538;538;538;539;539;542;549;552;558;564;568;573;578;579;615;616;620;623;626;628;633;644;651;655;662;664;671;675;679;682
3;"Magdalena Ogorek";427827194035100;"Magdalena Ogórek";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7465;7500;7573;7605;7630;7663;7684
3;"Magdalena Ogorek";427827194035100;"Magdalena Ogórek na Prezydenta RP";6964;6966;6953;6961;6981;6988;6995;7005;7027;7032;7033;7042;7044;7069;7087;7089;7098;7104;7103;7110;7115;7119;7124;7131;7152;7154;7167;7169;7180;7186;7191;7213;7312;7315;7325;7343;7357;7365;7391;7444;7453;NA;NA;NA;NA;NA;NA;NA
3;"Magdalena Ogorek";575970469204903;"Magdalena Ogórek na ok³adkê Playboya";55;55;60;76;78;79;79;80;92;104;112;129;130;131;141;146;146;149;150;152;152;154;155;155;154;154;154;154;155;155;155;156;170;171;174;178;182;188;191;195;195;197;198;207;210;210;213;239
3;"Magdalena Ogorek";598366133596584;"Magdalena Ogórek - Prezydent Wszystkich Polaków";218;220;220;222;223;223;223;224;226;226;227;230;229;229;236;235;238;243;246;249;249;253;254;255;258;259;265;265;265;268;269;271;282;284;286;286;288;288;288;290;292;292;291;292;293;294;295;296
3;"Magdalena Ogorek";814165825294001;"10 maja zag³osujê na Magdalenê Ogórek";548;550;554;568;574;578;586;597;607;611;620;636;639;651;659;680;692;700;705;717;733;747;753;773;817;825;845;861;869;879;895;913;976;977;978;984;992;1005;1012;1043;1051;1056;1060;1075;1084;1093;1114;1123
3;"Magdalena Ogorek";1016081188408742;"TAK dla Magdaleny Ogórek";15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
3;"Magdalena Ogorek";1340895182715750;"Maggie Ogórek";249;249;249;251;251;251;251;250;251;251;251;251;252;257;260;261;261;262;261;261;261;261;262;263;263;263;263;263;263;263;263;263;263;263;263;263;262;262;263;264;263;263;263;263;263;262;262;262
3;"Magdalena Ogorek";1530592410526790;"Magdalena Ogórek prezydentka Polski";662;664;668;675;676;682;699;711;722;728;734;747;748;759;774;780;783;783;783;783;783;784;784;784;785;785;784;783;784;784;784;785;787;787;787;787;787;787;788;790;790;792;793;794;794;794;794;794
3;"Magdalena Ogorek";1532372707037125;"Dr Magdalena Ogórek FP";956;957;958;973;983;986;999;1016;1027;1030;1039;1052;1055;1069;1098;1106;1110;1106;1107;1110;1113;1117;1123;1138;1151;1156;1168;1173;1177;1188;1190;1195;1236;1240;1247;1258;1273;1292;1307;1361;1379;1385;1398;1414;1422;1429;1436;1441
3;"Magdalena Ogorek";1771867373038732;"G³osujemy na Magdalenê Ogórek";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;10;12;14;14;14;14
