"id";"name";"likes";"picture";"date"
140229586049381;"Adam Jarubas";6641;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/p200x200/11045353_814053252000341_2655789932226599307_n.jpg?oh=2d6353320bac8c4047309738de90bd8a&oe=5585FF13&__gda__=1434844694_6fa1ccacd2ed8a49f38a3ed622bb41fe";"2015-03-16"
583962355036720;"Adam Jarubas - mój kandydat na Prezydenta RP";3654;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c0.0.200.200/p200x200/10891934_583962985036657_5237431461364873863_n.jpg?oh=bab0847f8ff62bb5186d97a4a2812a04&oe=5571C016&__gda__=1433855208_d3d611e3fabdfea883b254ede29ee3a8";"2015-03-16"
1544799479104013;"Prezydent Adam Jarubas - podlaskie popiera";7;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c100.0.200.200/p200x200/10296645_1544800882437206_8755840835692208796_n.jpg?oh=be5431f14ac45568e0569761c5ba1885&oe=557D4E43&__gda__=1438200040_c63892f45315cc5734037a6a8a20df1b";"2015-03-16"
901557673197599;"Adam Jarubas - kandydat Warszawy";45;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c33.0.200.200/p200x200/1524567_901568549863178_6689707247568904571_n.jpg?oh=b8c239cc6842f22e7a31f615faa105a0&oe=55BDCE8A&__gda__=1433987160_db3d8072a44af9159f7857e5f1f163fb";"2015-03-16"
1413267715636806;"Legionowo popiera Adama Jarubasa kandydata na Prezydenta RP";134;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c100.0.200.200/p200x200/10995110_1413268318970079_5611757402927916602_n.jpg?oh=49a64291bedb69c6b8e5e2933bd23c16&oe=5582F3A1&__gda__=1434163076_390329c42d6161c6067c615ef6893acb";"2015-03-16"
821440701256215;"Powiat P³ocki g³osuje na Adama Jarubasa";104;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/11053084_830165313717087_7559877153228104105_n.jpg?oh=a0c1fd03a2bb06bd91d9f2b56ee33b16&oe=55758DAB&__gda__=1434921037_adb4cbbba3777341dc79b350cd50790d";"2015-03-16"
780491481998803;"Warmia i Mazury popieraj¹ Adama Jarubasa na Prezydenta RP";299;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c98.0.200.200/p200x200/1907463_780491948665423_1206349344633711968_n.jpg?oh=d47dcd9b9e634803c702daa248b990a1&oe=55BBF188&__gda__=1433620832_493736c40b21cb6de128ad83ceeac254";"2015-03-16"
415050505286595;"Warszawa popiera Adama Jarubasa";340;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c100.0.200.200/p200x200/11012375_415050871953225_303669750652399647_n.jpg?oh=43aa4fd2cb972f1117f48eaca9cbfd25&oe=55730187&__gda__=1434663751_a47bfa8c3963dd4ea4e3d4ba95d72235";"2015-03-16"
1445193509055416;"G³osujê na Adama Jarubasa";37;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c0.0.200.200/10945706_1445195265721907_5028494408517189127_n.jpg?oh=0ab78b5477c0b5e4f5ea3655c70d716f&oe=557AD109&__gda__=1435013091_6a3d68e81fc5f5d5ef6473f1b8d2350c";"2015-03-16"
1590345221203820;"Powiat P³oñski g³osuje na Adama Jarubasa";115;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c12.0.200.200/p200x200/11046752_1590345954537080_4040630146873280615_n.jpg?oh=b88eadae8b43a2fb6c2efc7077d14ecc&oe=557E8A45&__gda__=1433493557_7aa5c0afe2a061c86872532a76a5aee5";"2015-03-16"
