"id";"name";"likes";"picture";"date"
160906857259563;"Andrzej Duda";53270;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/10988284_1050677248282515_5867743820540907976_n.png?oh=49ba93675ec80aa2dbbf979658ddf345&oe=5586BAE2&__gda__=1438394997_336ea62a0ec6db1793e29c7f8aa058b5";"2015-03-16"
1522296784688424;"Andrzej Duda Prezydentem wszystkich Polaków";2612;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c0.0.200.200/p200x200/10423907_1526147090970060_131860903827276306_n.jpg?oh=ff14c26aaffe5f0bbea50f353b0566a2&oe=557B6989&__gda__=1434998169_e5bd66768a133a686a23d2f677d5517c";"2015-03-16"
160906857259563;"Andrzej Duda";53499;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/10988284_1050677248282515_5867743820540907976_n.png?oh=49ba93675ec80aa2dbbf979658ddf345&oe=5586BAE2&__gda__=1438394997_336ea62a0ec6db1793e29c7f8aa058b5";"2015-03-17"
1522296784688424;"Andrzej Duda Prezydentem wszystkich Polaków";2616;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c0.0.200.200/p200x200/10423907_1526147090970060_131860903827276306_n.jpg?oh=ff14c26aaffe5f0bbea50f353b0566a2&oe=557B6989&__gda__=1437590169_bfe5231281fa66fe5539f168a953244a";"2015-03-17"
160906857259563;"Andrzej Duda";53691;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/10988284_1050677248282515_5867743820540907976_n.png?oh=49ba93675ec80aa2dbbf979658ddf345&oe=5586BAE2&__gda__=1438394997_336ea62a0ec6db1793e29c7f8aa058b5";"2015-03-18"
1522296784688424;"Andrzej Duda Prezydentem wszystkich Polaków";2631;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c0.0.200.200/p200x200/10423907_1526147090970060_131860903827276306_n.jpg?oh=ff14c26aaffe5f0bbea50f353b0566a2&oe=557B6989&__gda__=1437590169_bfe5231281fa66fe5539f168a953244a";"2015-03-18"
160906857259563;"Andrzej Duda";54088;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/10988284_1050677248282515_5867743820540907976_n.png?oh=d5a280db25fe26b37468d8c7a7601647&oe=55AE47E2&__gda__=1438394997_d1b1cb1026d09cfa0e0782c948fc46ad";"2015-03-19"
1522296784688424;"Andrzej Duda Prezydentem wszystkich Polaków";2682;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c0.0.200.200/p200x200/10423907_1526147090970060_131860903827276306_n.jpg?oh=ff14c26aaffe5f0bbea50f353b0566a2&oe=557B6989&__gda__=1437590169_bfe5231281fa66fe5539f168a953244a";"2015-03-19"
160906857259563;"Andrzej Duda";54381;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/10988284_1050677248282515_5867743820540907976_n.png?oh=d5a280db25fe26b37468d8c7a7601647&oe=55AE47E2&__gda__=1438394997_d1b1cb1026d09cfa0e0782c948fc46ad";"2015-03-20"
1522296784688424;"Andrzej Duda Prezydentem wszystkich Polaków";2689;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c0.0.200.200/p200x200/10423907_1526147090970060_131860903827276306_n.jpg?oh=ff14c26aaffe5f0bbea50f353b0566a2&oe=557B6989&__gda__=1437590169_bfe5231281fa66fe5539f168a953244a";"2015-03-20"
