"id";"name";"likes";"picture";"date"
113077252063553;"Bronis³aw Komorowski";137091;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/11057750_806571206047484_5254682216932926581_n.jpg?oh=d4bd9ba7341087fd0e9eef966a682312&oe=55781C85&__gda__=1433988963_b58cbc15c738fa1b33eb71db86f63a31";"2015-03-16"
903760883001833;"Popieram Komorowskiego w Kujawsko-Pomorskim";81;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xta1/v/t1.0-1/p200x200/65560_903804569664131_6995965134169177525_n.jpg?oh=40d7bd08e955886914c13679791ee8dc&oe=55BDAC34&__gda__=1434781077_6a113b1a4b9b918a1c7d6a02cc2518eb";"2015-03-16"
268467546620008;"Bronis³aw Komorowski - mój Prezydent";6423;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c177.4.631.631/s200x200/10959610_611285412338218_6902352197667718080_n.jpg?oh=c554042704dd4f3654837b3d4bd2a933&oe=55B1279E&__gda__=1433385672_feb05b3fdb3f9f2900d620b3cc5f80b1";"2015-03-16"
108537862522546;"NIE CHCÊ aby Bronis³aw Komorowski zosta³ prezydentem !!!!!!!";7636;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c46.0.200.200/p200x200/27733_110988578944141_1204618_n.jpg?oh=9f37ccfa262194c7ec787eb6f95c125e&oe=5581733C&__gda__=1438439866_b6044366256c2185b210481a3aecdc54";"2015-03-16"
553818191388543;"Typowy Komorowski";70;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/p200x200/10959742_553818774721818_8463104550722319143_n.jpg?oh=cd86e05971988bc11e66faa303c92523&oe=55B8042C&__gda__=1434356369_4651bd7fa7d94e9bd06e2a1d3f971103";"2015-03-16"
1535058823440445;"Karny Komorowski";57;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c55.0.200.200/p200x200/10933751_1535059010107093_7243347049347714364_n.jpg?oh=f26d3c1d8c46a77a6926ddad502f6211&oe=55B5C908&__gda__=1433819070_8911d12a147f378075013808a4c9b420";"2015-03-16"
1398961593742823;"POpieram Komorowskiego";56;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c50.0.200.200/p200x200/10985573_1398963753742607_2202444743190049795_n.jpg?oh=97bcb74b5e6f1a72e38958db138b4bc9&oe=557760A5&__gda__=1434883571_05563ec7479e5b56c84ff7e1ef5c4ab8";"2015-03-16"
449248448558093;"Debata Duda - Komorowski";31;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c78.0.200.200/p200x200/10387208_449248861891385_8001672995510268993_n.jpg?oh=c56c313cb65fd3982263b830f0e8d3e8&oe=55734DD8&__gda__=1438082765_defc768dadb15927555e2119d8924c5a";"2015-03-16"
1438836586408237;"Bronis³aw Komorowski - nasz Prezydent";108;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/p200x200/11043091_1443423162616246_7352376654631066721_n.jpg?oh=3a50d9def8cce4ee934852d7e3f83acc&oe=5579DE28&__gda__=1437823588_4565e26a2546c728ce5c530898eea639";"2015-03-16"
413090908855188;"Komorowski NA Debatê";5;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c94.0.200.200/p200x200/1509854_413091942188418_6858994608037900935_n.png?oh=a5695e1a77b57d5c063c377fe9df99fb&oe=55BB2A9B&__gda__=1433606757_18bfb2f31728d8ef2eafaa4ae50d974c";"2015-03-16"
1609194429302220;"Bronek Komorowski";2;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c0.0.200.200/p200x200/1395978_1609194522635544_5450778654018625508_n.jpg?oh=c7d50cb31cd4d04ba9536376d21e9642&oe=55BC17E2&__gda__=1433759986_e61e7e11d67686e6aa07e99de96c1dd6";"2015-03-16"
811168678956871;"Popieram Komorowskiego w Warszawie";466;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.0.200.200/p200x200/10407231_811169185623487_1146978539670906338_n.jpg?oh=853d7f4266aa342ad6f9aa511f622d97&oe=55735882&__gda__=1434161488_b6412f951e82473de016204157da2089";"2015-03-16"
1562912467297933;"ANTY Bronis³aw Komorowski";94;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c21.0.200.200/p200x200/11037330_1562921183963728_5917059441272549249_n.jpg?oh=96782f5eb3a35083c06a919d71f817c4&oe=557AD8EB&__gda__=1438364501_241229cde8b90c156263921c9099da6b";"2015-03-16"
370428239811313;"Komorowski stoi na rzeczach";7;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c54.0.177.177/10923199_370429269811210_4017432076153690082_n.jpg?oh=751ec3dbd9c13085495dcf2c3f6c8e2c&oe=55BCE640&__gda__=1437701726_b76f8081e85b5d69a81bdd3c95ed5b00";"2015-03-16"
1559222271024577;"Bronis³aw Komorowski Ostatni Samuraj";13;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/p200x200/11039189_1559222707691200_4605716278238643300_n.jpg?oh=2f345b97f17a1b05e7f0dd16a10793e3&oe=5570E52D&__gda__=1434950191_0f8061c8d65c63c11c8bc2282d3d5ce7";"2015-03-16"
900130833371598;"Popieram Komorowskiego na Mazowszu";103;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c0.0.200.200/p200x200/10995786_900131496704865_6301655852901251874_n.jpg?oh=83e6920b5b56722053ffbe62da8e0781&oe=55B49268&__gda__=1438262648_a6464802828eeee0d6ad9aacf7b12647";"2015-03-16"
913128815385222;"Popieram Komorowskiego w powiecie legionowskim";49;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.0.200.200/p200x200/11057750_913129342051836_1424454972842692397_n.jpg?oh=27d2aa02c195e8d978816231b6473ffd&oe=557F3CD9&__gda__=1434975243_834bb29b4cecf3cc75f517e819d34486";"2015-03-16"
1554360618180271;"S¹decczyzna popiera Komorowskiego";65;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c51.0.200.200/p200x200/10422063_1554362024846797_8919479970749953225_n.jpg?oh=8435d36dbadcbe47ab40a7254a8da7cd&oe=55878B3D&__gda__=1438389899_8134b68762f7f9c343c661e6c7d7949a";"2015-03-16"
428627390633869;"Oœwiêcim Popiera Komorowskiego";35;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/11013551_428627437300531_1069524289573247544_n.jpg?oh=fe435ff43eb572b3e8cf780a2d5d4b83&oe=5575168A&__gda__=1437650028_51d95da1d7afd925acea3ffa4395704b";"2015-03-16"
1412589775718922;"Myœlenice popieraj¹ Komorowskiego";40;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xft1/v/t1.0-1/p200x200/10885458_1412590859052147_5433000028918512251_n.jpg?oh=c2e5323ed63852f98cecbfbf282b1a13&oe=55BB39EF&__gda__=1438455914_a1d6aa814beea0f361b1b0d21a32308e";"2015-03-16"
450938998408112;"Pruszków popiera Komorowskiego";21;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.0.200.200/p200x200/10429473_450939461741399_6662155606534554725_n.jpg?oh=d74870596a65fab889d3f72b01b42203&oe=55776242&__gda__=1434473616_d481062ba95a274b609ce76ff53cc11d";"2015-03-16"
803427056406784;"NIE popieram Komorowskiego.";13;"https://fbcdn-profile-a.akamaihd.net/static-ak/rsrc.php/v2/y9/r/zesEb_o5oyL.png";"2015-03-16"
113077252063553;"Bronis³aw Komorowski";137119;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/11057750_806571206047484_5254682216932926581_n.jpg?oh=d4bd9ba7341087fd0e9eef966a682312&oe=55781C85&__gda__=1433988963_b58cbc15c738fa1b33eb71db86f63a31";"2015-03-17"
903760883001833;"Popieram Komorowskiego w Kujawsko-Pomorskim";82;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xta1/v/t1.0-1/p200x200/65560_903804569664131_6995965134169177525_n.jpg?oh=40d7bd08e955886914c13679791ee8dc&oe=55BDAC34&__gda__=1434781077_6a113b1a4b9b918a1c7d6a02cc2518eb";"2015-03-17"
268467546620008;"Bronis³aw Komorowski - mój Prezydent";6425;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c177.4.631.631/s200x200/10959610_611285412338218_6902352197667718080_n.jpg?oh=c554042704dd4f3654837b3d4bd2a933&oe=55B1279E&__gda__=1433385672_feb05b3fdb3f9f2900d620b3cc5f80b1";"2015-03-17"
