"id";"name";"likes";"picture";"date"
368902689980960;"Grzegorz Braun";113;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/p200x200/11018622_368905606647335_2959445269122440656_n.jpg?oh=b952839f7a286ad02ab9016029d09821&oe=55B2250C&__gda__=1437948293_3982188fc34e5cf89478a2025abf3358";"2015-04-05"
973776299316688;"Grzegorz Braun na prezydenta";2506;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/p200x200/10934033_996055770422074_1863494928900683888_n.jpg?oh=5cba6bed9c2d946058ce67bbf57f7fa0&oe=55A4E289&__gda__=1437212404_c49591b9ecc4e635bee62ea98661f7a9";"2015-04-05"
423516244481713;"Grzegorz Braun";14;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c0.0.200.200/p200x200/10362366_423517101148294_7743918823114838569_n.jpg?oh=e636f84c9818b06119215dc767def0cd&oe=559F334D&__gda__=1437158053_3ce0f8f412bb6a3c4d1bfbfb97028068";"2015-04-05"
1538401599758196;"Grzegorz Braun";19;"https://fbcdn-profile-a.akamaihd.net/static-ak/rsrc.php/v2/y9/r/zesEb_o5oyL.png";"2015-04-05"
368902689980960;"Grzegorz Braun";122;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/p200x200/11018622_368905606647335_2959445269122440656_n.jpg?oh=b952839f7a286ad02ab9016029d09821&oe=55B2250C&__gda__=1437948293_3982188fc34e5cf89478a2025abf3358";"2015-04-06"
973776299316688;"Grzegorz Braun na prezydenta";2525;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/p200x200/10934033_996055770422074_1863494928900683888_n.jpg?oh=5cba6bed9c2d946058ce67bbf57f7fa0&oe=55A4E289&__gda__=1437212404_c49591b9ecc4e635bee62ea98661f7a9";"2015-04-06"
423516244481713;"Grzegorz Braun";14;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c0.0.200.200/p200x200/10362366_423517101148294_7743918823114838569_n.jpg?oh=e636f84c9818b06119215dc767def0cd&oe=559F334D&__gda__=1437158053_3ce0f8f412bb6a3c4d1bfbfb97028068";"2015-04-06"
1538401599758196;"Grzegorz Braun";19;"https://fbcdn-profile-a.akamaihd.net/static-ak/rsrc.php/v2/y9/r/zesEb_o5oyL.png";"2015-04-06"
368902689980960;"Grzegorz Braun";135;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/p200x200/11018622_368905606647335_2959445269122440656_n.jpg?oh=b952839f7a286ad02ab9016029d09821&oe=55B2250C&__gda__=1437948293_3982188fc34e5cf89478a2025abf3358";"2015-04-07"
973776299316688;"Grzegorz Braun na prezydenta";2537;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/p200x200/10934033_996055770422074_1863494928900683888_n.jpg?oh=5cba6bed9c2d946058ce67bbf57f7fa0&oe=55A4E289&__gda__=1437212404_c49591b9ecc4e635bee62ea98661f7a9";"2015-04-07"
423516244481713;"Grzegorz Braun";17;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c0.0.200.200/p200x200/10362366_423517101148294_7743918823114838569_n.jpg?oh=e636f84c9818b06119215dc767def0cd&oe=559F334D&__gda__=1437158053_3ce0f8f412bb6a3c4d1bfbfb97028068";"2015-04-07"
1538401599758196;"Grzegorz Braun";19;"https://fbcdn-profile-a.akamaihd.net/static-ak/rsrc.php/v2/y9/r/zesEb_o5oyL.png";"2015-04-07"
368902689980960;"Grzegorz Braun";148;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/p200x200/11018622_368905606647335_2959445269122440656_n.jpg?oh=b952839f7a286ad02ab9016029d09821&oe=55B2250C&__gda__=1437948293_3982188fc34e5cf89478a2025abf3358";"2015-04-08"
973776299316688;"Grzegorz Braun na prezydenta";2549;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/p200x200/10934033_996055770422074_1863494928900683888_n.jpg?oh=5cba6bed9c2d946058ce67bbf57f7fa0&oe=55A4E289&__gda__=1437212404_c49591b9ecc4e635bee62ea98661f7a9";"2015-04-08"
423516244481713;"Grzegorz Braun";18;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c0.0.200.200/p200x200/10362366_423517101148294_7743918823114838569_n.jpg?oh=e636f84c9818b06119215dc767def0cd&oe=559F334D&__gda__=1437158053_3ce0f8f412bb6a3c4d1bfbfb97028068";"2015-04-08"
1538401599758196;"Grzegorz Braun";19;"https://fbcdn-profile-a.akamaihd.net/static-ak/rsrc.php/v2/y9/r/zesEb_o5oyL.png";"2015-04-08"
368902689980960;"Grzegorz Braun";172;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/p200x200/11018622_368905606647335_2959445269122440656_n.jpg?oh=b952839f7a286ad02ab9016029d09821&oe=55B2250C&__gda__=1437948293_3982188fc34e5cf89478a2025abf3358";"2015-04-10"
973776299316688;"Grzegorz Braun na prezydenta";2590;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10934033_996055770422074_1863494928900683888_n.jpg?oh=5cba6bed9c2d946058ce67bbf57f7fa0&oe=55A4E289&__gda__=1436186223_fddfeebd60613929bc72f3486319dd46";"2015-04-10"
423516244481713;"Grzegorz Braun";21;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c0.0.200.200/p200x200/10362366_423517101148294_7743918823114838569_n.jpg?oh=e636f84c9818b06119215dc767def0cd&oe=559F334D&__gda__=1437158053_3ce0f8f412bb6a3c4d1bfbfb97028068";"2015-04-10"
1538401599758196;"Grzegorz Braun";21;"https://fbcdn-profile-a.akamaihd.net/static-ak/rsrc.php/v2/y9/r/zesEb_o5oyL.png";"2015-04-10"
368902689980960;"Grzegorz Braun";172;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/p200x200/11018622_368905606647335_2959445269122440656_n.jpg?oh=b952839f7a286ad02ab9016029d09821&oe=55B2250C&__gda__=1437948293_3982188fc34e5cf89478a2025abf3358";"2015-04-11"
973776299316688;"Grzegorz Braun na prezydenta";2603;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10934033_996055770422074_1863494928900683888_n.jpg?oh=5cba6bed9c2d946058ce67bbf57f7fa0&oe=55A4E289&__gda__=1436186223_fddfeebd60613929bc72f3486319dd46";"2015-04-11"
