"id";"name";"likes";"picture";"date"
277681892059;"Janusz Korwin-Mikke";543773;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c14.0.200.200/p200x200/10325255_10152087279362060_8288074850186436880_n.png?oh=8be73a15f50cbc1ca0d5df5aee45a17e&oe=55707278&__gda__=1433535507_ee590e53ab6b27a0c92895036dd8a5ca";"2015-03-16"
826989754027897;"MIKKE - Miêdzygalaktyczna Inicjatywa Korwin Krulem Europy";1907;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c25.0.200.200/p200x200/9808_826991037361102_6606255217780220362_n.jpg?oh=97e97d7239451b07c84f6ef55d4aa41d&oe=557C86B6&__gda__=1433563975_7cbca1d3fcccb57c215900fbd3374c84";"2015-03-16"
403245929843154;"Janusz Korwin Mikke na prezydenta";81;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10375117_403256283175452_4502944220349483030_n.jpg?oh=ec6973c5038e63345a11c65fc79be71f&oe=55B593DF&__gda__=1438466873_faae676ce0aefbcea9d86ac49f24bac8";"2015-03-16"
1527592940842688;"Janusz Korwin Mikke - Prezydent 2015";128;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c14.0.200.200/p200x200/10403486_1542462816022367_1979196745525584423_n.png?oh=429ce145b8c847f2a86f42a82fc500ce&oe=557FDB14&__gda__=1434811554_ef606e1fa5cafa01b726efe292f93544";"2015-03-16"
692610310813179;"Janusz Korwin-Mikke - English version";1755;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/10547672_692610500813160_5163424629472560453_n.png?oh=a82ce7221f3fc6c73d2df1f82145d83c&oe=55736A56&__gda__=1433453468_aace4927ff76f87921ed9640ada17d88";"2015-03-16"
795841360427908;"Quotes by Janusz Korwin-Mikke";2238;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c50.0.200.200/p200x200/10291865_795844657094245_1367072222072541575_n.jpg?oh=ea0100bc75ce681ddddef62295ef62b7&oe=55B0F0D8&__gda__=1433822044_fdf5f25f660a978bbfe6effb88eac515";"2015-03-16"
282757195247660;"Janusz Korwin-Mikke Krul Polski";587;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.54.200.200/p200x200/10407507_282767855246594_8396440596055186699_n.jpg?oh=d9cb658a0036782d656dd5390ef91232&oe=55BBE3C1&__gda__=1433697025_207a46ecad613e205212deed2e7e7c43";"2015-03-16"
1481806018753061;"Archiwum Janusza Korwin - Mikke";487;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c33.0.200.200/p200x200/1622027_1481806625419667_7380128451240141530_n.jpg?oh=98d09ca30e0d7a711dc71a392c5aaa01&oe=558146D5&__gda__=1437753490_9a522c22df6d28aa6e3ccd02762b1b76";"2015-03-16"
1540108336236735;"Sopi Korwin-Mikke";47;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c18.0.200.200/p200x200/10353711_1540885449492357_5385763011156571044_n.jpg?oh=b9e7b2a8406799cd1e2c47bfa819702a&oe=55885543&__gda__=1437776661_458515edb0051cc25be9322424f918f9";"2015-03-16"
625623610869279;"Janusz Korwin-Mikke masakrowa³ przez sen";744;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c29.0.200.200/p200x200/10609448_625625840869056_4803793141666040482_n.jpg?oh=22a6f46dc6d13392d483c09ce34951b5&oe=557F1C8E&__gda__=1437973838_9e876a53f74ed5d103ad75134964c7fe";"2015-03-16"
240193466178018;"Nie dla Janusza Korwin-Mikkego i Kongresu Nowej Prawicy";2443;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c32.0.200.200/p200x200/1503922_240195476177817_7141215439677660223_n.jpg?oh=c2776b6f1a5b56cb471a094d23f7a90f&oe=55B86193&__gda__=1438290948_39750e4a6f0fa78813da858b1dc06d59";"2015-03-16"
619949791452127;"Janusz Korwin Mikke-Français";1891;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c14.0.200.200/p200x200/10559898_619951451451961_4935224413972807039_n.png?oh=c5b3db81326c61df9f4598b0a71d3f31&oe=557357FF&__gda__=1438340586_fa15cc5cf13c82148dcefec6eb22bac6";"2015-03-16"
572486229447767;"Janusz Korwin-Mikke mocno masakruje czterech lewaków, a dwóch ciê¿ko rani";400;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c40.2.400.400/s200x200/427351_572487769447613_1436333271_n.jpg?oh=92f9b780f8f86a2f46dfefd53cffea4c&oe=55BA6335&__gda__=1437669620_ddd897726d8f66d82312ca998226a92c";"2015-03-16"
1438870139682604;"Europose³ Janusz Korwin Mikke";587;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c0.0.200.200/p200x200/1620649_1438871406349144_1216133658_n.jpg?oh=ba2d49b405e9eab7a3dadab656992816&oe=55B3BA8A&__gda__=1438308962_389b3c7c82dae92b82a99cb8c80205d8";"2015-03-16"
1413639702253093;"Janusz Korwin Mikke";14;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10995936_1560805044203224_7851866607937743388_n.jpg?oh=4c6cef4e758ead8388990079138fc496&oe=55767563&__gda__=1434516751_701cf0a9c6e95ba164e11fa139dc05e6";"2015-03-16"
345979218853303;"Korwin Mikke Pogromca Lewaków";10;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c21.13.158.158/971853_409932202458004_204687375_n.jpg?oh=ad64839c1c50bd7e14060650105f06a4&oe=55702B10&__gda__=1437971577_bd8175da8ed96617bddd5e0cef382120";"2015-03-16"
277681892059;"Janusz Korwin-Mikke";544078;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c14.0.200.200/p200x200/10325255_10152087279362060_8288074850186436880_n.png?oh=8be73a15f50cbc1ca0d5df5aee45a17e&oe=55707278&__gda__=1433535507_ee590e53ab6b27a0c92895036dd8a5ca";"2015-03-17"
826989754027897;"MIKKE - Miêdzygalaktyczna Inicjatywa Korwin Krulem Europy";1905;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c25.0.200.200/p200x200/9808_826991037361102_6606255217780220362_n.jpg?oh=97e97d7239451b07c84f6ef55d4aa41d&oe=557C86B6&__gda__=1433563975_7cbca1d3fcccb57c215900fbd3374c84";"2015-03-17"
403245929843154;"Janusz Korwin Mikke na prezydenta";82;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10375117_403256283175452_4502944220349483030_n.jpg?oh=ec6973c5038e63345a11c65fc79be71f&oe=55B593DF&__gda__=1438466873_faae676ce0aefbcea9d86ac49f24bac8";"2015-03-17"
1527592940842688;"Janusz Korwin Mikke - Prezydent 2015";130;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c14.0.200.200/p200x200/10403486_1542462816022367_1979196745525584423_n.png?oh=429ce145b8c847f2a86f42a82fc500ce&oe=557FDB14&__gda__=1434811554_ef606e1fa5cafa01b726efe292f93544";"2015-03-17"
692610310813179;"Janusz Korwin-Mikke - English version";1756;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/10547672_692610500813160_5163424629472560453_n.png?oh=a82ce7221f3fc6c73d2df1f82145d83c&oe=55736A56&__gda__=1433453468_aace4927ff76f87921ed9640ada17d88";"2015-03-17"
795841360427908;"Quotes by Janusz Korwin-Mikke";2241;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c50.0.200.200/p200x200/10291865_795844657094245_1367072222072541575_n.jpg?oh=ea0100bc75ce681ddddef62295ef62b7&oe=55B0F0D8&__gda__=1433822044_fdf5f25f660a978bbfe6effb88eac515";"2015-03-17"
282757195247660;"Janusz Korwin-Mikke Krul Polski";588;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.54.200.200/p200x200/10407507_282767855246594_8396440596055186699_n.jpg?oh=d9cb658a0036782d656dd5390ef91232&oe=55BBE3C1&__gda__=1433697025_207a46ecad613e205212deed2e7e7c43";"2015-03-17"
1481806018753061;"Archiwum Janusza Korwin - Mikke";488;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c33.0.200.200/p200x200/1622027_1481806625419667_7380128451240141530_n.jpg?oh=98d09ca30e0d7a711dc71a392c5aaa01&oe=558146D5&__gda__=1437753490_9a522c22df6d28aa6e3ccd02762b1b76";"2015-03-17"
