"id";"name";"likes";"picture";"date"
427827194035100;"Magdalena Ogórek na Prezydenta RP";6964;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c78.0.200.200/p200x200/10882317_431159907035162_2188052893134935063_n.jpg?oh=93401d6fe13b080858ed2ef18b674865&oe=55BD9970&__gda__=1433699936_1e48a3efca590db59ef201a7cc66e37e";"2015-03-16"
1532372707037125;"Dr Magdalena Ogórek FP";956;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c78.0.200.200/p200x200/1798119_1532372913703771_8941347276216012318_n.jpg?oh=24b37a7977a10455446423595521e58f&oe=55BA20C8&__gda__=1434474446_da37a627a1224cc741b611393874daec";"2015-03-16"
598366133596584;"Magdalena Ogórek - Prezydent Wszystkich Polaków";218;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978578_609428125823718_1186576212566798748_n.jpg?oh=a18546c53ddad9e0f97e4ea1e7b4b2f5&oe=55B09C3D&__gda__=1434675419_1abbf51ebce8b536fef53dc637d5ba21";"2015-03-16"
1340895182715750;"Maggie Ogórek";249;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c50.0.200.200/p200x200/10987716_1340895439382391_2679001535402900075_n.jpg?oh=d11422f63755598407819f01cf0db589&oe=55765E0E&__gda__=1437904216_dcc8d36cf414ecc510df5bdfe354c303";"2015-03-16"
348097728708974;"Magdalena Ogórek na Prezydenta RP";949;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/p200x200/10428570_351490521703028_4427045508184273843_n.jpg?oh=75b135d406f719d3278c5a90a78e314f&oe=55B58025&__gda__=1434616729_78cb1c03e0823cef5ac07ea6fba96523";"2015-03-16"
1530592410526790;"Magdalena Ogórek prezydentka Polski";662;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/p200x200/10933995_1530592887193409_8693306063873496574_n.jpg?oh=ac414abb424f1117fda4323aa5d989d0&oe=55775AEA&__gda__=1437755368_0350bc8a129fd7ec2195c03ac35521dc";"2015-03-16"
399655096851013;"Magdalena Ogórek Na Dziœ";463;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c50.0.200.200/p200x200/10922679_399655376850985_8063531196627811092_n.jpg?oh=f366464a70db67059e27edc6cd0c1c2d&oe=5585B239&__gda__=1434184574_6047510f940472d0a04b07cb9dd1d839";"2015-03-16"
575970469204903;"Magdalena Ogórek na ok³adkê Playboya";55;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c52.0.200.200/p200x200/10532372_578013845667232_3295979885421435295_n.png?oh=e49706fe73e8b49938253b5ef5f186a1&oe=557DA226&__gda__=1434673894_dc7b0aa6447c5c9f7abca7d47701bff5";"2015-03-16"
332431223631163;"Magdalena Ogórek";148;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c50.0.200.200/p200x200/11002604_332432023631083_928092819517465937_n.jpg?oh=49773f800d6c13ce563fb0d5ef4d3fb3&oe=557F04A9&__gda__=1434137211_21c5ae42b896e39c5c1e5da7668f418a";"2015-03-16"
814165825294001;"10 maja zag³osujê na Magdalenê Ogórek";548;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/p200x200/10378547_814181938625723_2655792912781667584_n.png?oh=3339f7be12316948ad36aafe97e91300&oe=5584F879&__gda__=1438234608_3c8a3760ebbf55c6e5439284dbb1cd87";"2015-03-16"
1016081188408742;"TAK dla Magdaleny Ogórek";15;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c0.0.200.200/p200x200/10922491_1016084031741791_449466070565170105_n.jpg?oh=f9477a35f84166760ffe9ea585898bec&oe=55B89018&__gda__=1433808880_4f669476302a6bcba5431983c0c4cb38";"2015-03-16"
1771867373038732;"G³osujemy na Magdalenê Ogórek";3;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c33.0.200.200/p200x200/1508091_1771868283038641_7489853371821007294_n.jpg?oh=a9ce0d87f81c39bf6e292ab602324dc6&oe=55B858A9&__gda__=1437998185_f7e89fd2f692cd9e15a0a3c6ea485653";"2015-03-16"
427827194035100;"Magdalena Ogórek na Prezydenta RP";6966;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c78.0.200.200/p200x200/10882317_431159907035162_2188052893134935063_n.jpg?oh=93401d6fe13b080858ed2ef18b674865&oe=55BD9970&__gda__=1433699936_1e48a3efca590db59ef201a7cc66e37e";"2015-03-17"
1532372707037125;"Dr Magdalena Ogórek FP";957;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c78.0.200.200/p200x200/1798119_1532372913703771_8941347276216012318_n.jpg?oh=24b37a7977a10455446423595521e58f&oe=55BA20C8&__gda__=1434474446_da37a627a1224cc741b611393874daec";"2015-03-17"
598366133596584;"Magdalena Ogórek - Prezydent Wszystkich Polaków";220;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978578_609428125823718_1186576212566798748_n.jpg?oh=a18546c53ddad9e0f97e4ea1e7b4b2f5&oe=55B09C3D&__gda__=1434675419_1abbf51ebce8b536fef53dc637d5ba21";"2015-03-17"
1340895182715750;"Maggie Ogórek";249;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c50.0.200.200/p200x200/10987716_1340895439382391_2679001535402900075_n.jpg?oh=d11422f63755598407819f01cf0db589&oe=55765E0E&__gda__=1437904216_dcc8d36cf414ecc510df5bdfe354c303";"2015-03-17"
