"id" "names" "id_pages"
1 "bronislaw komorowski" "113077252063553,268467546620008,757244784358808,721126741329181,370910853106330,108972249145093,345159245672364,1643225082574730,701264786662483,793372574050808,117124828327942,827197187364369,1414030425561396"
2 "andrzej duda" "160906857259563,810641275672961,1564743183740154,1529776580604415,1522296784688424,838863882847494,1506884199591799,1481907835408041,752725064824783,510562835713337,842628232443047,717341391707871,348105878713311,952545811464895,873974505975037,563587977114881,802216339860869,406300132828270,1503658039905725,439297219569419,464035647099254,774038032672883,1562811890619115,1555420791377547,342267202641380"
3 "magdalena ogorek" "205128642844668,427827194035100,332431223631163,1584955178385969,864060626970071,782452988509570,575970469204903,348097728708974,389980211190324,795163737231918,865829690125672,1532372707037125,1571400986430050,1415881318704840,1530592410526790"
4 "pawel kukiz" "773389822728740,456963874472714,769594703116231,749808495126104,850950911630741,709917732450260,1572606179694690,872612879465234,1563328250597313,1109507109075006,790714251023492,1433261680318650,866406930069419,676864795758573,594230200712799,1102855293074251,838935729514608,882084395170849,895298770511294,759450750840805,372149669660623,1382147398782643"
5 "adam jarubas" "140229586049381,313963322141691,744180989036557,168019653238973,723605367757672"
6 "janusz korwin mikke" "277681892059,403245929843154,692610310813179,1527592940842688,224931397714779,790517541044705,1468394483410904,1597403307174284,282757195247660,133021023436232,957757984276628,360107967530291,551290281677600,898375780213595,970416959637345,1438870139682604,302405476589825,650593055052357,223376667690607"
7 "janusz palikot" "191495590897988,1579227922299058,389039857937051,298320963518207,223376667690607"
8 "marian kowalski" "181063088664933,324141971095175,1522364481362800,1592659927634310,138962966127444"
9 "jacek wilk" "499646073441042,415099301976549,435400353291760,335606443297037,817705018312012,341193002753120,884935904861907,621902871244734"
10 "grzegorz braun" "268872956643088,1577502405798821,260383864111202,368902689980960,973776299316688,423516244481713,644946572278290,1538401599758196,439156846244414"
11 "pawel tanajno" "469702339755768,785096541556003,390816184436123"
