"lastname";"mean_retweet";"sum_retweet";"mean_like";"sum_like";"how_many_tweets";"date"
korwinmikke;0.666666666666667;2;1;3;3;2014-01-25
korwinmikke;0;0;0.5;2;4;2014-01-26
korwinmikke;0.333333333333333;2;0.833333333333333;5;6;2014-01-27
korwinmikke;0;0;0;0;1;2014-01-28
korwinmikke;0.25;2;0.5;4;8;2014-01-29
korwinmikke;1;4;0.75;3;4;2014-01-30
korwinmikke;0.5;1;1;2;2;2014-01-31
korwinmikke;0;0;1.33333333333333;4;3;2014-02-01
korwinmikke;0.5;1;0;0;2;2014-02-02
korwinmikke;0;0;0.5;2;4;2014-02-03
korwinmikke;0;0;1;2;2;2014-02-04
korwinmikke;1;1;1;1;1;2014-02-05
korwinmikke;1;3;1.66666666666667;5;3;2014-02-06
korwinmikke;0.333333333333333;1;0.333333333333333;1;3;2014-02-07
korwinmikke;0;0;1;1;1;2014-02-08
korwinmikke;2;4;2.5;5;2;2014-02-09
korwinmikke;0.333333333333333;1;1;3;3;2014-02-10
korwinmikke;0.5;1;0;0;2;2014-02-11
korwinmikke;0.5;2;0.75;3;4;2014-02-12
korwinmikke;1.4;7;0.8;4;5;2014-02-13
korwinmikke;2;6;1.33333333333333;4;3;2014-02-14
korwinmikke;2.14285714285714;15;2.14285714285714;15;7;2014-02-15
korwinmikke;1.33333333333333;4;1.33333333333333;4;3;2014-02-16
korwinmikke;2.33333333333333;7;1;3;3;2014-02-17
korwinmikke;2;2;2;2;1;2014-02-18
korwinmikke;2.2;11;1.4;7;5;2014-02-19
korwinmikke;3;12;2.25;9;4;2014-02-20
korwinmikke;3;3;3;3;1;2014-02-21
korwinmikke;3.33333333333333;10;3;9;3;2014-02-22
korwinmikke;2.25;9;5.5;22;4;2014-02-23
korwinmikke;16;16;36;36;1;2014-02-24
korwinmikke;9;18;23;46;2;2014-02-25
JkmMikke;1;2;2.5;5;2;2014-11-03
JkmMikke;1;3;2;6;3;2014-11-05
JkmMikke;5;5;13;13;1;2014-11-13
JkmMikke;1;1;1;1;1;2014-11-18
JkmMikke;1;3;0;0;3;2014-11-29
JkmMikke;1;1;0;0;1;2014-11-30
JkmMikke;1;2;1;2;2;2014-12-02
JkmMikke;1;1;1;1;1;2014-12-05
JkmMikke;2.5;5;6;12;2;2014-12-07
JkmMikke;2;2;12;12;1;2014-12-10
JkmMikke;5.5;11;19.5;39;2;2014-12-13
ogorekmagda;0;0;0;0;1;2014-12-15
ogorekmagda;0;0;1.5;3;2;2014-12-17
ogorekmagda;0.25;1;1.5;6;4;2014-12-18
ogorekmagda;0;0;0;0;1;2014-12-20
ogorekmagda;2;4;7;14;2;2014-12-21
JkmMikke;6;6;33;33;1;2014-12-27
ogorekmagda;0;0;2.5;5;2;2014-12-27
JkmMikke;15;15;32;32;1;2014-12-29
ogorekmagda;0;0;2;10;5;2014-12-31
JkmMikke;4.5;18;16.5;66;4;2015-01-04
ogorekmagda;2.6;13;9.8;49;5;2015-01-04
JkmMikke;8;16;20.5;41;2;2015-01-05
JkmMikke;2;2;10;10;1;2015-01-06
JkmMikke;19;38;59;118;2;2015-01-11
JkmMikke;22;22;40;40;1;2015-01-12
JkmMikke;25;25;85;85;1;2015-01-13
ogorekmagda;27;27;71;71;1;2015-01-13
ogorekmagda;35;35;71;71;1;2015-01-14
ogorekmagda;16;16;54;54;1;2015-01-16
JkmMikke;12;12;53;53;1;2015-01-17
ogorekmagda;20;20;33;33;1;2015-01-18
ogorekmagda;9.5;19;14;28;2;2015-01-19
AnnaGrodzka;0;0;9;9;1;2015-01-21
ogorekmagda;10;10;16;16;1;2015-01-21
AnnaGrodzka;1;1;2;2;1;2015-01-22
AnnaGrodzka;1;1;2;2;1;2015-01-23
ogorekmagda;6;6;28;28;1;2015-01-24
AnnaGrodzka;3;3;8;8;1;2015-01-26
JkmMikke;5.5;11;37;74;2;2015-01-26
ogorekmagda;10;10;27;27;1;2015-01-26
JkmMikke;2;2;10;10;1;2015-01-28
M_Kowalski1;8.66666666666667;26;10.6666666666667;32;3;2015-01-28
ogorekmagda;9;9;22;22;1;2015-01-29
AnnaGrodzka;4;4;5;5;1;2015-01-30
JkmMikke;7;7;33;33;1;2015-01-30
M_Kowalski1;2;2;3;3;1;2015-01-30
AnnaGrodzka;9;9;12;12;1;2015-02-01
AnnaGrodzka;1;1;13;13;1;2015-02-02
JkmMikke;5;5;11;11;1;2015-02-02
ogorekmagda;7;7;8;8;1;2015-02-02
JkmMikke;8;16;33;66;2;2015-02-03
ogorekmagda;10;10;26;26;1;2015-02-03
JkmMikke;5;5;18;18;1;2015-02-04
ogorekmagda;25;25;32;32;1;2015-02-04
M_Kowalski1;3;3;4;4;1;2015-02-05
