"lastname";"date";"sentiment"
komorowski;2015-03-16;57
duda;2015-03-16;6
korwin;2015-03-16;19
ogorek;2015-03-16;3
jarubas;2015-03-16;3
kukiz;2015-03-16;21
palikot;2015-03-16;-4
wilk;2015-03-16;7
braun;2015-03-16;0
kowalski;2015-03-16;2
tanajno;2015-03-16;0
komorowski;2015-03-17;68
duda;2015-03-17;3
korwin;2015-03-17;18
ogorek;2015-03-17;-2
jarubas;2015-03-17;1
kukiz;2015-03-17;-5
palikot;2015-03-17;-1
wilk;2015-03-17;0
braun;2015-03-17;-1
kowalski;2015-03-17;-1
tanajno;2015-03-17;0
komorowski;2015-03-21;98
komorowski;2015-03-22;1
duda;2015-03-21;11
duda;2015-03-22;1
korwin;2015-03-21;12
ogorek;2015-03-21;-3
jarubas;2015-03-21;1
kukiz;2015-03-21;-13
palikot;2015-03-21;6
kowalski;2015-03-21;1
komorowski;2015-03-22;94
duda;2015-03-22;13
korwin;2015-03-22;8
ogorek;2015-03-22;-3
jarubas;2015-03-22;6
kukiz;2015-03-22;18
palikot;2015-03-22;6
wilk;2015-03-22;0
braun;2015-03-22;2
kowalski;2015-03-22;1
komorowski;2015-03-23;34
duda;2015-03-23;44
korwin;2015-03-23;-13
ogorek;2015-03-23;23
jarubas;2015-03-23;-22
kukiz;2015-03-23;0
palikot;2015-03-23;4
wilk;2015-03-23;1
braun;2015-03-23;0
kowalski;2015-03-23;0
komorowski;2015-03-24;95
duda;2015-03-24;109
korwin;2015-03-24;79
ogorek;2015-03-24;22
jarubas;2015-03-24;3
kukiz;2015-03-24;0
palikot;2015-03-24;20
wilk;2015-03-24;1
braun;2015-03-24;2
kowalski;2015-03-24;3
komorowski;2015-03-25;-20
duda;2015-03-25;6
korwin;2015-03-25;0
ogorek;2015-03-25;0
jarubas;2015-03-25;0
kukiz;2015-03-25;2
palikot;2015-03-25;2
komorowski;2015-03-26;-395
komorowski;2015-03-27;-1
duda;2015-03-26;15
duda;2015-03-27;-3
korwin;2015-03-26;26
ogorek;2015-03-26;-4
jarubas;2015-03-26;2
kukiz;2015-03-26;10
palikot;2015-03-26;26
wilk;2015-03-26;2
braun;2015-03-26;1
kowalski;2015-03-26;1
tanajno;2015-03-26;2
komorowski;2015-03-27;-120
duda;2015-03-27;100
korwin;2015-03-27;39
ogorek;2015-03-27;-4
jarubas;2015-03-27;-5
kukiz;2015-03-27;5
palikot;2015-03-27;-9
wilk;2015-03-27;-2
braun;2015-03-27;2
kowalski;2015-03-27;-3
tanajno;2015-03-27;-2
komorowski;2015-03-28;-44
duda;2015-03-28;-5
korwin;2015-03-28;23
ogorek;2015-03-28;3
jarubas;2015-03-28;-4
kukiz;2015-03-28;9
palikot;2015-03-28;21
wilk;2015-03-28;3
braun;2015-03-28;2
kowalski;2015-03-28;-1
tanajno;2015-03-28;1
komorowski;2015-03-29;54
duda;2015-03-29;34
korwin;2015-03-29;19
ogorek;2015-03-29;4
jarubas;2015-03-29;5
kukiz;2015-03-29;-1
palikot;2015-03-29;-9
wilk;2015-03-29;0
braun;2015-03-29;-3
komorowski;2015-03-30;-40
duda;2015-03-30;-16
korwin;2015-03-30;19
ogorek;2015-03-30;-8
jarubas;2015-03-30;-1
kukiz;2015-03-30;2
palikot;2015-03-30;-14
wilk;2015-03-30;-1
braun;2015-03-30;-3
kowalski;2015-03-30;0
komorowski;2015-03-31;13
duda;2015-03-31;67
korwin;2015-03-31;8
ogorek;2015-03-31;4
jarubas;2015-03-31;4
kukiz;2015-03-31;11
palikot;2015-03-31;1
wilk;2015-03-31;-1
braun;2015-03-31;-1
kowalski;2015-03-31;-1
tanajno;2015-03-31;-1
komorowski;2015-04-01;86
duda;2015-04-01;-19
korwin;2015-04-01;-27
ogorek;2015-04-01;1
jarubas;2015-04-01;2
kukiz;2015-04-01;12
palikot;2015-04-01;-165
wilk;2015-04-01;-1
braun;2015-04-01;0
kowalski;2015-04-01;0
komorowski;2015-04-02;-4
duda;2015-04-02;0
korwin;2015-04-02;7
ogorek;2015-04-02;1
jarubas;2015-04-02;1
kukiz;2015-04-02;-5
palikot;2015-04-02;6
braun;2015-04-02;0
kowalski;2015-04-02;0
komorowski;2015-04-03;52
duda;2015-04-03;-10
korwin;2015-04-03;8
ogorek;2015-04-03;6
jarubas;2015-04-03;4
kukiz;2015-04-03;4
palikot;2015-04-03;5
braun;2015-04-03;5
kowalski;2015-04-03;2
komorowski;2015-04-04;-15
duda;2015-04-04;-1
korwin;2015-04-04;2
ogorek;2015-04-04;-1
jarubas;2015-04-04;0
kukiz;2015-04-04;14
palikot;2015-04-04;4
braun;2015-04-04;0
kowalski;2015-04-04;1
tanajno;2015-04-04;1
komorowski;2015-04-06;11
duda;2015-04-06;10
korwin;2015-04-06;3
kukiz;2015-04-06;0
palikot;2015-04-06;1
komorowski;2015-04-07;83
duda;2015-04-07;-5
korwin;2015-04-07;-4
ogorek;2015-04-07;-1
jarubas;2015-04-07;2
kukiz;2015-04-07;-10
palikot;2015-04-07;1
komorowski;2015-04-08;45
duda;2015-04-08;26
korwin;2015-04-08;-5
ogorek;2015-04-08;1
jarubas;2015-04-08;1
kukiz;2015-04-08;0
palikot;2015-04-08;-12
braun;2015-04-08;0
kowalski;2015-04-08;0
tanajno;2015-04-08;0
komorowski;2015-04-11;-17
duda;2015-04-11;-68
korwin;2015-04-11;6
ogorek;2015-04-11;5
jarubas;2015-04-11;2
kukiz;2015-04-11;7
palikot;2015-04-11;5
wilk;2015-04-11;0
kowalski;2015-04-11;1
komorowski;2015-04-12;258
duda;2015-04-12;108
korwin;2015-04-12;-5
ogorek;2015-04-12;-10
jarubas;2015-04-12;-3
kukiz;2015-04-12;5
palikot;2015-04-12;-1
braun;2015-04-12;1
komorowski;2015-04-13;218
komorowski;2015-04-14;1
duda;2015-04-13;30
duda;2015-04-14;2
korwin;2015-04-13;29
ogorek;2015-04-13;3
jarubas;2015-04-13;-1
kukiz;2015-04-13;-41
palikot;2015-04-13;-30
wilk;2015-04-13;-2
braun;2015-04-13;-2
kowalski;2015-04-13;1
kowalski;2015-04-14;0
tanajno;2015-04-13;1
komorowski;2015-04-14;196
duda;2015-04-14;-12
korwin;2015-04-14;73
ogorek;2015-04-14;-4
jarubas;2015-04-14;-3
kukiz;2015-04-14;12
